line,score,last_update_jitta,market,symbol,id,market_symbol,state,industry,note
13.66,7.79,2024-02-26 02:11:30.673687,NYSE,UNH,2629d336-55eb-4b50-bdd4-d662902e488c,NYSE#UNH,Over,Health Care Providers and Services,
16.1,6.6,2024-02-26 02:11:34.609942,NASDAQ,AMZN,81fa35a9-49f3-4af5-99c0-7249c8cd0b05,NASDAQ#AMZN,Under,Broadline Retail,
90.75,8.24,2024-02-26 02:11:40.776327,NYSE,V,9042cc73-97a9-4169-814f-4a710a789321,NYSE#V,Over,Financial Services,
56.7,6.21,2024-02-26 02:12:39.659463,NYSE,ADM,8b2d0c00-23b1-4416-b95a-9ce6a4944ece,NYSE#ADM,Under,Food Products,
36.43,6.06,2024-02-26 02:12:43.421308,NYSE,TSM,06dfa9ab-f328-4d48-b36b-ed681bb73753,NYSE#TSM,Over,Semiconductors and Semiconductor Equipment,
48.93,7.44,2024-02-26 02:12:46.602452,NASDAQ,FTNT,6b07bbe1-6b4b-4bad-9008-a6ca416f3c78,NASDAQ#FTNT,Over,Software,
81.29,6.83,2024-02-26 02:12:52.286855,NYSE,LMT,1f5d1c76-4bb2-4bd8-bb2f-037236c371f6,NYSE#LMT,Over,Aerospace and Defense,
2.06,8.08,2024-02-26 02:12:56.867632,NASDAQ,GOOGL,d9ecd222-436a-41b1-857f-5cec62154452,NASDAQ#GOOGL,Over,Interactive Media and Services,
61.77,8.9,2024-02-26 02:13:04.317099,NASDAQ,MSFT,8f02c812-7193-427c-a737-80303bd219fc,NASDAQ#MSFT,Over,Software,
9.82,5.91,2024-02-26 02:13:09.629561,NYSE,NEE,82e962ac-36fc-417c-9cef-f7551a158920,NYSE#NEE,Over,Electric Utilities,
131.93,6.31,2024-02-26 02:13:14.390767,NASDAQ,PEP,65aa0572-02c5-4ba9-9c2f-6ae03dba4be4,NASDAQ#PEP,Over,Beverages,
45.88,7.48,2024-02-26 02:13:18.154044,NYSE,DE,2c3edbe1-638f-461f-8ad0-a6243f5ba96f,NYSE#DE,Under,Machinery,
44.83,5.46,2024-02-26 02:13:22.333141,NYSE,DHR,f0cc8e60-52e1-4faa-ace0-5b857c9c1c41,NYSE#DHR,Over,Life Sciences Tools and Services,
54.55,7.41,2024-02-26 02:13:25.513325,NASDAQ,AVGO,bd0b2904-6390-4dfc-839d-2464216f56f1,NASDAQ#AVGO,Over,Semiconductors and Semiconductor Equipment,
38.16,8.42,2024-02-26 02:13:32.75725,NYSE,BLD,323f8242-d37e-4b18-91f5-b1156c502508,NYSE#BLD,Under,Household Durables,
43.87,6.04,2024-02-26 02:13:36.305736,NASDAQ,VRTX,d1560166-ef9d-47ad-a354-7298f6321225,NASDAQ#VRTX,Over,Biotechnology,
73.42,7.29,2024-02-23 02:07:08.967488,NASDAQ,AAPL,9580815f-7b02-4a38-b617-f074185d078b,NASDAQ#AAPL,Over,"Technology Hardware, Storage and Peripherals",
244.57,6.97,2024-02-23 02:17:16.803596,NASDAQ,NVDA,eafd93c8-009d-4bb3-b104-e7b3e2af5eed,NASDAQ#NVDA,Over,Semiconductors and Semiconductor Equipment,
140.51,5.76,2024-02-23 02:17:16.927467,NASDAQ,SMCI,e707386b-59e1-462e-8b1b-306d25525a4c,NASDAQ#SMCI,Over,"Technology Hardware, Storage and Peripherals",
230.78,5.78,2024-02-23 02:17:16.993309,NYSE,O,4902bac6-dbc6-40b6-8165-8acd8d52cab4,NYSE#O,Over,Equity Real Estate Investment Trusts (REITs),
347.73,6.75,2024-02-23 02:17:21.542369,NYSE,LLY,2cff1c25-830b-4b6b-8d96-1444f3351ea3,NYSE#LLY,Over,Pharmaceuticals,
70.43,5.4,2024-02-23 02:17:27.036467,NASDAQ,TSLA,fdb12012-66f1-4659-8968-7689da44ffe5,NASDAQ#TSLA,Over,Automobiles,
39.88,5.83,2024-02-23 02:18:01.132903,NYSE,ABBV,871f8677-faaf-4fb5-86dd-62c285328e09,NYSE#ABBV,Under,Biotechnology,
4.75,7.63,2024-02-23 02:24:04.198265,NASDAQ,META,826e5b23-e7df-4838-b1f0-52e57708b31b,NASDAQ#META,Over,Interactive Media and Services,
51.67,7.9,2024-02-26 02:10:54.921002,NASDAQ,ODFL,8f8fd11b-5f5c-43ea-afef-ee66d5c9b64d,NASDAQ#ODFL,Over,Ground Transportation,
166.18,7.76,2024-02-26 02:11:25.899961,NASDAQ,COST,b4c4a615-3911-4fe7-8495-4703a5dafc29,NASDAQ#COST,Over,Consumer Staples Distribution and Retail,
3.41,5.64,2024-02-26 02:13:41.819592,NASDAQ,ENPH,b7e0ea87-1318-45ec-b522-538048763bf2,NASDAQ#ENPH,Under,Semiconductors and Semiconductor Equipment,
62.28,5.65,2024-02-26 02:13:46.062725,NYSE,NOC,9e26aed4-6c32-4508-aeed-ef19a3793c66,NYSE#NOC,Over,Aerospace and Defense,
21.34,7.42,2024-02-26 02:13:49.740626,NYSE,HCA,1faedfef-ee08-42d9-a8c4-b960d0fdaa12,NYSE#HCA,Under,Health Care Providers and Services,
24.67,5.08,2024-02-26 02:13:54.155145,NYSE,XOM,7c9b0241-2436-4e28-a1d5-0fa09bd1e501,NYSE#XOM,Under,"Oil, Gas and Consumable Fuels",
67.14,5.91,2024-02-26 02:13:57.638505,NASDAQ,NXST,c6e84778-7992-4fcf-92c5-ad0447df76cb,NASDAQ#NXST,Under,Media,
60.22,6.95,2024-02-26 02:14:03.423547,NASDAQ,UFPI,79052189-1c0b-4fbe-8a72-9a21cf94d2f9,NASDAQ#UFPI,Under,Building Products,
106.76,8.48,2024-02-26 02:14:06.486284,NASDAQ,ADP,fa9f0da2-2321-48a9-b8fb-0e57b1b12b34,NASDAQ#ADP,Over,Professional Services,
76.58,6.29,2024-02-26 02:14:11.228873,NYSE,APD,62a0358d-34e9-41a4-a161-38a5d9e108b6,NYSE#APD,Over,Chemicals,
153.19,7.38,2024-02-26 02:14:15.402772,NYSE,MCD,d6adbf69-7187-428d-bcb9-f02457c74adb,NYSE#MCD,Over,"Hotels, Restaurants and Leisure",
5.7,7.34,2024-02-26 02:14:19.613995,NYSE,JPM,b02726b6-dc78-4290-8171-dfee1ee3ad84,NYSE#JPM,Over,Banks,
67.13,8.34,2024-02-26 02:14:24.148364,NYSE,ACN,c3335c6d-0093-44be-871a-5779116d40f8,NYSE#ACN,Over,IT Services,
44.02,5.79,2024-02-26 02:14:28.086998,NYSE,LOW,341974b1-3e23-486d-940b-d293088e7e5c,NYSE#LOW,Under,Specialty Retail,
32.73,7.84,2024-02-26 02:14:32.661279,NYSE,HSY,7da338ff-5f64-4a1e-a7f9-8457fc088175,NYSE#HSY,Over,Food Products,
36.54,4.86,2024-02-26 02:14:36.258913,NYSE,CVX,06eb861d-b46e-460e-8e0b-1dfe8fe4637a,NYSE#CVX,Under,"Oil, Gas and Consumable Fuels",
322.9,6.57,2024-02-26 02:14:45.922768,NASDAQ,MNST,e53e7e93-c180-455b-9833-262e7a9730b5,NASDAQ#MNST,Over,Beverages,
74.08,6.44,2024-02-26 02:14:51.687506,NYSE,WCN,6b5549c0-16fa-440b-ab93-d07e0953ad7c,NYSE#WCN,Over,Commercial Services and Supplies,
20.45,3.11,2024-02-26 02:14:56.300857,NASDAQ,SEDG,61ee5efc-be1c-4a1b-af7f-70b602f76475,NASDAQ#SEDG,Over,Semiconductors and Semiconductor Equipment,
315.26,4.4,2024-02-26 02:15:01.048278,NYSE,VLTO,6db96fa7-d8b9-44ee-b284-914a88e12ed4,NYSE#VLTO,Over,Commercial Services and Supplies,
