date,fee,price,share,market_symbol,type,id
2022-11-03,0,221.56,0.0298330,NASDAQ#TSLA,Buy,b886919c-b9dd-4b77-ab5e-ddcb8d878dc8
2022-11-08,0,131.19,0.0508391,NYSE#JPM,Buy,bef72bf0-8429-4007-8aa1-79bcbca4f7a6
2022-11-17,0,96.95,0.0717895,NASDAQ#GOOGL,Buy,3b74d4b1-002c-4cce-9d56-cdf54e88b15f
2022-11-17,0,110.51,0.0629807,NASDAQ#META,Buy,1b67a59a-e336-4a24-8812-5a56234583f1
2022-11-18,0,152.49,0.0456423,NASDAQ#AAPL,Buy,13672bff-36b0-4cf7-bb76-75fe6964a518
2022-11-30,0,182.56,0.0387269,NASDAQ#TSLA,Buy,df5c8307-862e-4171-a31d-7a8ddc52dc1a
2022-11-30,0,92.42,0.0763903,NASDAQ#AMZN,Buy,ff333f02-5d5e-49c7-9312-f2a2b01822e9
2022-11-30,0,480,0.0147083,NYSE#LMT,Buy,3b1391ab-c2a8-4497-86e6-9454826ba601
2022-12-28,0,116.44,0.0615767,NASDAQ#META,Buy,7c5f6860-bc25-47cb-8469-95529265e57d
2022-12-28,0,109.55,0.0654495,NYSE#XOM,Buy,831be810-b636-4ba7-9b4c-5dcd4a53bf8d
2022-12-28,0,178.61,0.0401433,NYSE#CVX,Buy,a8ffde92-b306-4aa1-adbc-1404bd6962fe
2022-12-28,0,486.15,0.0147485,NYSE#LMT,Buy,e0bcf754-df0e-42c6-9d22-9d8889c8aa8b
2023-01-11,0,158.33,0.0942335,NASDAQ#NVDA,Buy,fbf3ece0-429b-4414-8234-895c84dbcc2a
2023-01-14,0,134.76,0.0560997,NASDAQ#AAPL,Buy,beff7a63-84e2-4eff-b4ce-7089c4b295d7
2023-01-14,0,125.7,0.0614160,NASDAQ#TSLA,Buy,f560fd3f-d4fc-440f-8ffe-213ff44864f3
2023-01-14,0,98.73,0.1532462,NASDAQ#AMZN,Buy,4bc463ff-66aa-45ab-b674-aad74a52e711
2023-01-16,0,66.25,0.2276226,NYSE#O,Buy,9424913b-65af-41a8-9492-0c74ab9fdd0d
2023-01-30,0,68.12,0.1118647,NYSE#O,Buy,1ee3967e-6caa-4e41-8fdd-8be89b3fde93
2023-02-01,0,169.85,0.0446265,NASDAQ#PEP,Buy,d0211ba5-4cda-4d85-8797-bfe3f9b61f85
2023-02-01,0,172.05,0.0440559,NASDAQ#TSLA,Buy,959c6811-5087-444b-bc61-517a24a4cdbc
2023-02-01,0,0.05,0.0000000,NYSE#JPM,Dividend,7c3638c7-2eff-411d-8c7e-a2431d29789d
2023-02-03,0,217.14,0.0696785,NYSE#LOW,Buy,e013f10d-9a03-4ca0-88ad-f93577395645
2023-02-08,0,246.91,0.0603863,NASDAQ#ENPH,Buy,21fa401d-b0c2-49f8-8ed7-9fb9321b36d0
2023-02-09,0,152.11,0.0489764,NYSE#ABBV,Buy,4ec79ed0-3056-4367-a97b-b39cb0380050
2023-02-09,0,473.12,0.0157465,NYSE#LMT,Buy,65632ab0-abc1-4bf8-b8b3-052b679ab3b4
2023-02-09,0,74.72,0.0997109,NYSE#NEE,Buy,72e01519-50b9-4129-bb59-509e78f2f670
2023-02-09,0,67,0.1112006,NYSE#O,Buy,59348687-fed1-441e-90bc-c33302c6dfcb
2023-02-09,0,206.78,0.0359308,NASDAQ#ENPH,Buy,42c6db94-a3fc-405b-9501-decafe3dcdd0
2023-02-11,0,226.73,0.0325938,NYSE#V,Buy,b1f968d5-45b9-415f-a898-5b4edebfdc24
2023-02-13,0,495.6,0.0191686,NYSE#UNH,Buy,328b262d-37ea-4a7e-8246-3a7a0e84bb0d
2023-02-13,0,226.49,0.0220760,NASDAQ#ADP,Buy,c6d8c60b-12df-4d48-bd7d-96a2baf1276f
2023-02-13,0,288.88,0.0510253,NYSE#APD,Buy,68a27667-b0b9-4e6a-a364-a2a104451fe7
2023-02-13,0,288.88,0.0079618,NYSE#APD,Buy,edcc2679-bf6d-4ed7-b9d7-ed5f02d21e0a
2023-02-13,0,151.97,0.0775821,NYSE#ABBV,Buy,016d3781-241b-42f5-89f1-64f646609bc3
2023-02-13,0,595.28,0.0148502,NASDAQ#AVGO,Buy,a7020013-676f-4b54-ae12-35a9f85c447c
2023-02-14,0,93.95,0.0940865,NASDAQ#GOOGL,Buy,3909f10c-973d-4b74-843b-a22541eebac5
2023-02-14,0,75.18,0.0389752,NYSE#NEE,Buy,aaa01e17-01d6-4641-966d-5475296ded4b
2023-02-14,0,170.6,0.0257916,NYSE#CVX,Buy,22711d7c-1e96-49a4-b466-e12580acea94
2023-02-14,0,98.02,0.0600922,NYSE#TSM,Buy,e179ed87-8c6d-48bb-80c4-10f03724e27b
2023-02-14,0,353.04,0.0166834,NYSE#LLY,Buy,46f8a938-d77c-4b90-93c9-9b3df7557d27
2023-02-14,0,273.84,0.0215452,NASDAQ#MSFT,Buy,0d5729e7-c8d3-4453-90ee-89b10a146966
2023-02-15,0,174.88,0.0413988,NASDAQ#PEP,Buy,d0e5d701-9e46-40f2-8d9f-81cc3c6d057b
2023-02-16,0.01,0.08,0.0000000,NYSE#O,Dividend,1f8c4df5-0ec3-410a-be6b-8115ed8054cf
2023-02-17,0,0.02,0.0000000,NASDAQ#AAPL,Dividend,072391b4-7652-44c5-9fe7-b7f44b199c00
2023-02-17,0,175.78,0.0328816,NASDAQ#PEP,Buy,5797eba8-423c-4bba-b9ca-b5339cbc7cc5
2023-02-22,0,345.35,0.0086866,NASDAQ#ODFL,Buy,42142af8-b9d1-4364-9db9-e073e64a4c4a
2023-02-22,0,294.36,0.0055033,NASDAQ#VRTX,Buy,2c21ed5a-2180-48f0-a875-53134e700cc8
2023-02-22,0,65.63,0.0438823,NYSE#O,Buy,c757de77-af28-49a4-9ea1-98776989ee85
2023-02-22,0,73.78,0.0390360,NYSE#NEE,Buy,b4cb90a2-c200-4d8d-a446-d8cddf8360d2
2023-02-22,0,81.88,0.0351734,NYSE#ADM,Buy,92034ae9-85eb-46e7-9e21-f357addbfb20
2023-02-22,0,66.86,0.2158047,NYSE#O,Buy,c8279ca8-59dc-4479-a39f-4bc5881e8a01
2023-02-23,0,426.96,0.0157623,NYSE#DE,Buy,e7dceb1e-a3b5-47d7-b9cb-540ae7463569
2023-02-23,0,196.83,0.0137170,NASDAQ#NXST,Buy,4c7c37ec-ca6e-4db8-8b33-b4d884d8affb
2023-02-23,0,66.16,0.1298210,NYSE#O,Buy,333ccf6f-a8e7-4f14-9d2f-d5b3ae892faf
2023-02-24,0,72.45,0.0276021,NYSE#NEE,Buy,edf66f39-d031-4fb2-acb8-aaf2f533dea5
2023-02-27,0,102.13,0.0489543,NASDAQ#SMCI,Buy,9a4e60c9-8b04-4a71-8c21-2ec2f3efd5b7
2023-02-27,0,344.61,0.0242012,NASDAQ#ODFL,Buy,f08c2af2-287d-4fb8-9d0a-f97699e01ca2
